iter	Passed	Remaining
0	163	163817
1	166	83047
2	171	56861
3	173	43225
4	177	35299
5	180	29844
6	182	25882
7	185	23046
8	188	20701
9	189	18798
10	193	17430
11	199	16447
12	201	15274
13	202	14289
14	204	13418
15	205	12620
16	206	11912
17	206	11281
18	207	10715
19	208	10209
20	209	9746
21	213	9493
22	214	9113
23	215	8760
24	216	8430
25	216	8128
26	217	7847
27	218	7587
28	219	7344
29	220	7115
30	220	6901
31	221	6701
32	222	6514
33	223	6338
34	223	6173
35	226	6076
36	228	5938
37	229	5801
38	229	5665
39	230	5536
40	231	5411
41	232	5295
42	232	5182
43	233	5075
44	234	4975
45	235	4877
46	235	4784
47	236	4695
48	237	4608
49	239	4552
50	241	4488
51	242	4418
52	243	4344
53	243	4272
54	244	4203
55	245	4135
56	246	4070
57	246	4010
58	247	3952
59	248	3895
60	249	3839
61	250	3784
62	250	3730
63	251	3679
64	252	3633
65	253	3592
66	254	3549
67	256	3509
68	257	3470
69	258	3433
70	259	3397
71	260	3360
72	261	3322
73	262	3285
74	263	3250
75	269	3276
76	270	3244
77	271	3210
78	272	3182
79	273	3150
80	274	3119
81	275	3087
82	276	3050
83	276	3019
84	277	2988
85	278	2959
86	279	2931
87	280	2902
88	281	2878
89	282	2857
90	284	2846
91	286	2822
92	286	2797
93	288	2776
94	289	2754
95	290	2732
96	291	2711
97	292	2691
98	294	2683
99	297	2680
100	299	2662
101	300	2641
102	301	2625
103	302	2606
104	303	2585
105	304	2564
106	304	2544
107	306	2529
108	308	2518
109	310	2514
110	314	2519
111	315	2502
112	318	2497
113	320	2489
114	322	2478
115	323	2466
116	324	2450
117	325	2432
118	326	2418
119	328	2406
120	329	2390
121	329	2372
122	330	2356
123	331	2340
124	332	2324
125	332	2308
126	333	2290
127	333	2273
128	334	2257
129	335	2241
130	335	2227
131	336	2212
132	337	2197
133	337	2182
134	338	2168
135	339	2154
136	339	2139
137	340	2125
138	342	2118
139	343	2109
140	344	2098
141	345	2084
142	345	2072
143	346	2060
144	347	2048
145	348	2036
146	348	2024
147	349	2013
148	350	2001
149	351	1989
150	351	1978
151	352	1966
152	353	1954
153	353	1943
154	354	1931
155	355	1921
156	356	1915
157	358	1908
158	359	1899
159	359	1889
160	360	1878
161	361	1868
162	361	1858
163	362	1849
164	363	1841
165	364	1833
166	366	1826
167	367	1820
168	368	1811
169	369	1802
170	369	1792
171	370	1782
172	373	1785
173	374	1779
174	375	1771
175	376	1763
176	377	1754
177	378	1745
178	378	1736
179	379	1727
180	379	1718
181	380	1709
182	381	1701
183	381	1692
184	382	1684
185	382	1675
186	383	1667
187	384	1659
188	384	1651
189	385	1642
190	387	1640
191	388	1634
192	389	1627
193	389	1619
194	390	1611
195	391	1604
196	391	1596
197	392	1589
198	392	1581
199	393	1574
200	394	1566
201	394	1559
202	395	1551
203	395	1544
204	396	1537
205	397	1530
206	397	1523
207	398	1516
208	399	1510
209	399	1503
210	400	1497
211	402	1495
212	403	1490
213	404	1484
214	404	1477
215	405	1470
216	405	1464
217	406	1457
218	406	1451
219	407	1444
220	408	1439
221	409	1433
222	409	1427
223	410	1421
224	410	1415
225	411	1409
226	412	1403
227	412	1397
228	413	1391
229	413	1385
230	414	1380
231	415	1374
232	417	1373
233	418	1369
234	419	1364
235	419	1359
236	420	1353
237	421	1348
238	421	1342
239	422	1337
240	423	1332
241	423	1326
242	424	1321
243	424	1316
244	425	1310
245	426	1305
246	426	1300
247	427	1295
248	427	1290
249	428	1285
250	429	1280
251	432	1283
252	433	1280
253	434	1276
254	435	1272
255	436	1269
256	437	1265
257	440	1266
258	441	1262
259	444	1264
260	445	1261
261	446	1257
262	447	1254
263	448	1250
264	449	1247
265	450	1243
266	451	1239
267	452	1236
268	453	1232
269	454	1229
270	455	1225
271	456	1221
272	460	1225
273	461	1221
274	462	1218
275	462	1214
276	463	1211
277	464	1207
278	486	1256
279	487	1253
280	488	1249
281	489	1245
282	492	1247
283	493	1243
284	494	1239
285	495	1236
286	496	1233
287	497	1230
288	498	1226
289	499	1222
290	500	1218
291	501	1215
292	502	1211
293	503	1208
294	505	1207
295	507	1206
296	508	1203
297	509	1200
298	512	1202
299	513	1199
300	514	1195
301	515	1192
302	516	1188
303	517	1185
304	518	1181
305	519	1177
306	527	1190
307	528	1187
308	529	1183
309	530	1180
310	531	1176
311	531	1173
312	532	1169
313	533	1166
314	534	1162
315	536	1160
316	537	1158
317	538	1155
318	541	1155
319	542	1152
320	543	1149
321	544	1146
322	545	1143
323	546	1139
324	546	1135
325	547	1132
326	548	1128
327	549	1125
328	549	1121
329	552	1121
330	578	1168
331	579	1166
332	580	1163
333	581	1160
334	582	1157
335	585	1157
336	586	1154
337	587	1150
338	588	1146
339	588	1143
340	589	1139
341	589	1135
342	590	1131
343	591	1127
344	591	1123
345	592	1119
346	592	1115
347	593	1112
348	594	1108
349	594	1104
350	595	1101
351	596	1097
352	596	1093
353	597	1090
354	598	1086
355	599	1084
356	600	1081
357	601	1078
358	602	1074
359	602	1071
360	603	1067
361	603	1064
362	604	1060
363	604	1057
364	605	1054
365	606	1050
366	607	1047
367	607	1043
368	608	1040
369	609	1037
370	609	1033
371	610	1030
372	610	1026
373	611	1023
374	612	1020
375	612	1016
376	613	1014
377	615	1012
378	616	1009
379	616	1006
380	617	1003
381	617	999
382	618	996
383	619	993
384	619	990
385	620	986
386	620	983
387	621	980
388	622	977
389	622	974
390	623	970
391	624	967
392	624	964
393	625	961
394	625	958
395	626	955
396	627	953
397	628	951
398	630	949
399	631	946
400	631	943
401	632	941
402	633	938
403	634	935
404	634	932
405	635	929
406	636	926
407	636	923
408	637	920
409	637	917
410	638	914
411	638	911
412	639	909
413	640	906
414	640	903
415	641	900
416	642	897
417	642	895
418	643	892
419	645	891
420	646	888
421	646	886
422	647	883
423	648	880
424	648	877
425	649	874
426	649	872
427	650	869
428	651	866
429	651	864
430	652	861
431	653	858
432	653	856
433	654	853
434	655	850
435	655	848
436	656	845
437	656	842
438	657	840
439	657	837
440	659	835
441	660	833
442	661	831
443	661	828
444	662	826
445	663	823
446	663	821
447	664	818
448	664	816
449	665	813
450	666	810
451	666	808
452	667	805
453	668	803
454	669	801
455	670	799
456	670	797
457	671	794
458	672	792
459	673	790
460	675	789
461	676	787
462	676	785
463	677	783
464	678	780
465	679	778
466	680	776
467	681	774
468	681	772
469	682	769
470	683	767
471	684	765
472	685	763
473	686	761
474	686	759
475	687	757
476	690	757
477	691	755
478	692	753
479	693	751
480	694	748
481	694	746
482	695	744
483	696	742
484	697	740
485	698	738
486	698	736
487	699	734
488	700	732
489	701	730
490	702	728
491	703	725
492	705	725
493	706	723
494	707	721
495	708	719
496	708	717
497	710	716
498	711	714
499	712	712
500	713	710
501	713	708
502	714	706
503	715	704
504	716	702
505	717	700
506	718	698
507	721	699
508	722	697
509	724	695
510	725	693
511	726	692
512	727	690
513	727	688
514	728	686
515	729	684
516	730	682
517	731	680
518	731	678
519	732	676
520	733	674
521	734	672
522	736	671
523	737	669
524	738	668
525	739	666
526	740	664
527	741	662
528	742	660
529	743	659
530	743	657
531	744	655
532	745	653
533	746	651
534	747	649
535	747	647
536	751	647
537	752	645
538	753	644
539	753	642
540	754	640
541	755	638
542	756	636
543	757	634
544	758	632
545	758	630
546	759	629
547	760	627
548	761	625
549	762	623
550	762	621
551	763	619
552	765	618
553	766	617
554	767	615
555	768	613
556	769	611
557	769	609
558	770	608
559	771	606
560	772	604
561	773	602
562	773	600
563	774	598
564	775	597
565	776	595
